,Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,TotalHoursAsleep,VeryActiveHours,SedentaryHours,FairlyActiveHours,LightlyActiveHours
0,1503960366,4/12/2016,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,1,327,346,5.45,0.4166666666666667,12.133333333333333,0.21666666666666667,5.466666666666667
1,1503960366,4/13/2016,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,2,384,407,6.4,0.35,12.933333333333334,0.31666666666666665,3.6166666666666667
2,1503960366,4/15/2016,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,1,412,442,6.866666666666666,0.48333333333333334,12.1,0.5666666666666667,3.4833333333333334
3,1503960366,4/16/2016,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,2,340,367,5.666666666666667,0.6,12.883333333333333,0.16666666666666666,3.683333333333333
4,1503960366,4/17/2016,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,1,700,712,11.666666666666666,0.6333333333333333,8.983333333333333,0.3333333333333333,2.7333333333333334
5,1503960366,4/19/2016,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,1,304,320,5.066666666666666,0.8333333333333334,12.916666666666666,0.5166666666666667,4.4
6,1503960366,4/20/2016,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,1,360,377,6.0,0.4666666666666667,13.633333333333333,0.2,3.4166666666666665
7,1503960366,4/21/2016,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,1,325,364,5.416666666666667,0.31666666666666665,13.966666666666667,0.13333333333333333,3.5166666666666666
8,1503960366,4/23/2016,14371,9.03999996185303,9.03999996185303,0.0,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,1949,1,361,384,6.016666666666667,0.6833333333333333,12.2,0.35,4.366666666666666
9,1503960366,4/24/2016,10039,6.40999984741211,6.40999984741211,0.0,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,1788,1,430,449,7.166666666666667,0.65,11.816666666666666,0.08333333333333333,3.966666666666667
10,1503960366,4/25/2016,15355,9.80000019073486,9.80000019073486,0.0,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,2013,1,277,323,4.616666666666666,1.2166666666666666,13.566666666666666,0.23333333333333334,3.6
11,1503960366,4/26/2016,13755,8.78999996185303,8.78999996185303,0.0,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,1970,1,245,274,4.083333333333333,0.5166666666666667,13.883333333333333,0.38333333333333336,4.65
12,1503960366,4/28/2016,13154,8.52999973297119,8.52999973297119,0.0,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,1898,1,366,393,6.1,0.8,13.033333333333333,0.4666666666666667,3.15
13,1503960366,4/29/2016,11181,7.15000009536743,7.15000009536743,0.0,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,1837,1,341,354,5.683333333333334,0.26666666666666666,13.583333333333334,0.2,4.05
14,1503960366,4/30/2016,14673,9.25,9.25,0.0,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,1947,1,404,425,6.733333333333333,0.8666666666666667,11.866666666666667,0.5666666666666667,3.6166666666666667
15,1503960366,5/1/2016,10602,6.80999994277954,6.80999994277954,0.0,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,1820,1,369,396,6.15,0.55,12.166666666666666,0.5833333333333334,4.1
16,1503960366,5/2/2016,14727,9.71000003814697,9.71000003814697,0.0,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,2004,1,277,309,4.616666666666666,0.6833333333333333,13.3,0.25,4.616666666666666
17,1503960366,5/3/2016,15103,9.65999984741211,9.65999984741211,0.0,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,1990,1,273,296,4.55,0.8333333333333334,13.6,0.4,4.233333333333333
18,1503960366,5/5/2016,14070,8.89999961853027,8.89999961853027,0.0,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,1959,1,247,264,4.116666666666666,0.75,14.283333333333333,0.4,4.166666666666667
19,1503960366,5/6/2016,12159,8.02999973297119,8.02999973297119,0.0,1.97000002861023,0.25,5.80999994277954,0.0,24,6,289,754,1896,1,334,367,5.566666666666666,0.4,12.566666666666666,0.1,4.816666666666666
20,1503960366,5/7/2016,11992,7.71000003814697,7.71000003814697,0.0,2.46000003814697,2.11999988555908,3.13000011444092,0.0,37,46,175,833,1821,1,331,349,5.516666666666667,0.6166666666666667,13.883333333333333,0.7666666666666667,2.9166666666666665
21,1503960366,5/8/2016,10060,6.57999992370605,6.57999992370605,0.0,3.52999997138977,0.319999992847443,2.73000001907349,0.0,44,8,203,574,1740,1,594,611,9.9,0.7333333333333333,9.566666666666666,0.13333333333333333,3.3833333333333333
22,1503960366,5/9/2016,12022,7.71999979019165,7.71999979019165,0.0,3.45000004768372,0.529999971389771,3.74000000953674,0.0,46,11,206,835,1819,1,338,342,5.633333333333334,0.7666666666666667,13.916666666666666,0.18333333333333332,3.433333333333333
23,1503960366,5/10/2016,12207,7.76999998092651,7.76999998092651,0.0,3.34999990463257,1.1599999666214,3.25999999046326,0.0,46,31,214,746,1859,1,383,403,6.383333333333334,0.7666666666666667,12.433333333333334,0.5166666666666667,3.566666666666667
24,1503960366,5/11/2016,12770,8.13000011444092,8.13000011444092,0.0,2.55999994277954,1.00999999046326,4.55000019073486,0.0,36,23,251,669,1783,1,285,306,4.75,0.6,11.15,0.38333333333333336,4.183333333333334
25,1644430081,4/29/2016,3176,2.30999994277954,2.30999994277954,0.0,0.0,0.0,2.30999994277954,0.0,0,0,120,1193,2498,1,119,127,1.9833333333333334,0.0,19.883333333333333,0.0,2.0
26,1644430081,4/30/2016,18213,13.2399997711182,13.2399997711182,0.0,0.629999995231628,3.14000010490417,9.46000003814697,0.0,9,71,402,816,3846,1,124,142,2.066666666666667,0.15,13.6,1.1833333333333333,6.7
27,1644430081,5/2/2016,3758,2.73000001907349,2.73000001907349,0.0,0.0700000002980232,0.310000002384186,2.34999990463257,0.0,1,7,148,682,2580,1,796,961,13.266666666666667,0.016666666666666666,11.366666666666667,0.11666666666666667,2.466666666666667
28,1644430081,5/8/2016,6724,4.8899998664856,4.8899998664856,0.0,0.0,0.0,4.88000011444092,0.0,0,0,295,991,2987,1,137,154,2.283333333333333,0.0,16.516666666666666,0.0,4.916666666666667
29,1844505072,4/15/2016,3844,2.53999996185303,2.53999996185303,0.0,0.0,0.0,2.53999996185303,0.0,0,0,176,527,1725,1,644,961,10.733333333333333,0.0,8.783333333333333,0.0,2.933333333333333
30,1844505072,4/30/2016,4014,2.67000007629395,2.67000007629395,0.0,0.0,0.0,2.65000009536743,0.0,0,0,184,218,1763,1,722,961,12.033333333333333,0.0,3.6333333333333333,0.0,3.066666666666667
31,1844505072,5/1/2016,2573,1.70000004768372,1.70000004768372,0.0,0.0,0.259999990463257,1.45000004768372,0.0,0,7,75,585,1541,1,590,961,9.833333333333334,0.0,9.75,0.11666666666666667,1.25
32,1927972279,4/12/2016,678,0.469999998807907,0.469999998807907,0.0,0.0,0.0,0.469999998807907,0.0,0,0,55,734,2220,3,750,775,12.5,0.0,12.233333333333333,0.0,0.9166666666666666
33,1927972279,4/13/2016,356,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0,0,32,986,2151,1,398,422,6.633333333333334,0.0,16.433333333333334,0.0,0.5333333333333333
34,1927972279,4/15/2016,980,0.680000007152557,0.680000007152557,0.0,0.0,0.0,0.680000007152557,0.0,0,0,51,941,2221,2,475,499,7.916666666666667,0.0,15.683333333333334,0.0,0.85
35,1927972279,4/26/2016,3761,2.59999990463257,2.59999990463257,0.0,0.0,0.0,2.59999990463257,0.0,0,0,192,1058,2638,1,296,315,4.933333333333334,0.0,17.633333333333333,0.0,3.2
36,1927972279,4/28/2016,1675,1.1599999666214,1.1599999666214,0.0,0.0,0.0,1.1599999666214,0.0,0,0,95,1167,2351,1,166,178,2.7666666666666666,0.0,19.45,0.0,1.5833333333333333
37,2026352035,4/12/2016,4414,2.74000000953674,2.74000000953674,0.0,0.189999997615814,0.349999994039536,2.20000004768372,0.0,3,8,181,706,1459,1,503,546,8.383333333333333,0.05,11.766666666666667,0.13333333333333333,3.0166666666666666
38,2026352035,4/13/2016,4993,3.09999990463257,3.09999990463257,0.0,0.0,0.0,3.09999990463257,0.0,0,0,238,663,1521,1,531,565,8.85,0.0,11.05,0.0,3.966666666666667
39,2026352035,4/14/2016,3335,2.0699999332428,2.0699999332428,0.0,0.0,0.0,2.04999995231628,0.0,0,0,197,653,1431,1,545,568,9.083333333333334,0.0,10.883333333333333,0.0,3.283333333333333
40,2026352035,4/15/2016,3821,2.36999988555908,2.36999988555908,0.0,0.0,0.0,2.36999988555908,0.0,0,0,188,687,1444,1,523,573,8.716666666666667,0.0,11.45,0.0,3.1333333333333333
41,2026352035,4/16/2016,2547,1.58000004291534,1.58000004291534,0.0,0.0,0.0,1.58000004291534,0.0,0,0,150,728,1373,1,524,567,8.733333333333333,0.0,12.133333333333333,0.0,2.5
42,2026352035,4/17/2016,838,0.519999980926514,0.519999980926514,0.0,0.0,0.0,0.519999980926514,0.0,0,0,60,1053,1214,1,437,498,7.283333333333333,0.0,17.55,0.0,1.0
43,2026352035,4/19/2016,2424,1.5,1.5,0.0,0.0,0.0,1.5,0.0,0,0,141,785,1356,1,498,540,8.3,0.0,13.083333333333334,0.0,2.35
44,2026352035,4/20/2016,7222,4.48000001907349,4.48000001907349,0.0,0.0,0.0,4.48000001907349,0.0,0,0,327,623,1667,1,461,510,7.683333333333334,0.0,10.383333333333333,0.0,5.45
45,2026352035,4/21/2016,2467,1.52999997138977,1.52999997138977,0.0,0.0,0.0,1.52999997138977,0.0,0,0,153,749,1370,1,477,514,7.95,0.0,12.483333333333333,0.0,2.55
